epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3429,1.79747,2.95188,1.82114,0.00556,0.625,0.16163,0.07508,1.4783,3.41683,1.5925,0.00014,0.00014,0.00014
2,25.5559,1.69063,2.32951,1.72866,0.00611,0.6875,0.27208,0.15083,1.30603,2.99077,1.39656,0.00029406,0.00029406,0.00029406
3,38.4312,1.50435,2.00777,1.6164,0.7782,0.22275,0.47192,0.32623,1.20517,2.84844,1.36079,0.000441784,0.000441784,0.000441784
4,50.57,1.50012,1.8878,1.53281,0.83835,0.32566,0.48007,0.3334,1.40976,2.7132,1.39031,0.000583172,0.000583172,0.000583172
5,62.8742,1.51194,1.66356,1.56289,0.84552,0.4375,0.53322,0.34951,1.39519,2.43972,1.38383,0.000718224,0.000718224,0.000718224
6,79.9233,1.6133,2.22032,1.69773,1,0.29366,0.43388,0.28403,1.55932,2.82965,1.4846,0.00084694,0.00084694,0.00084694
7,98.8413,1.41225,1.57393,1.48636,0.69747,0.25,0.34949,0.28131,1.53318,2.88636,1.49512,0.00096932,0.00096932,0.00096932
8,122.217,1.48003,1.51376,1.53307,0.62628,0.3125,0.28983,0.20214,1.69763,2.88006,1.66036,0.00108536,0.00108536,0.00108536
9,142.229,1.46049,1.52438,1.53764,0.79758,0.3125,0.35931,0.23503,1.62619,2.83836,1.67054,0.00119507,0.00119507,0.00119507
10,165.148,1.38991,1.51293,1.51129,0.89389,0.25,0.29499,0.17196,1.91865,2.96777,1.89296,0.00129844,0.00129844,0.00129844
11,189.44,1.44492,1.55004,1.51783,0.33681,0.25,0.2793,0.13955,1.83464,2.8751,1.67653,0.00139548,0.00139548,0.00139548
12,214.333,1.50798,1.4986,1.56767,0.26274,0.25,0.25711,0.13348,1.99254,2.68254,1.73254,0.00148618,0.00148618,0.00148618
13,239.145,1.45752,1.43329,1.50388,0.45653,0.5,0.38518,0.19067,1.97182,2.53445,1.63688,0.0015248,0.0015248,0.0015248
14,264.076,1.47478,1.48381,1.53754,0.79763,0.49333,0.49334,0.27026,1.96105,2.42145,1.58013,0.0014852,0.0014852,0.0014852
15,293.841,1.47522,1.44876,1.51294,0.64671,0.375,0.32287,0.20948,2.05031,2.65129,1.77487,0.0014456,0.0014456,0.0014456
