epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9026,1.81798,2.98711,1.82918,0.00667,0.75,0.17123,0.0688,1.52515,3.40737,1.61473,0.00014,0.00014,0.00014
2,48.0712,1.61871,2.74234,1.70034,0.00667,0.75,0.29746,0.20262,1.31591,3.20308,1.45866,0.00029406,0.00029406,0.00029406
3,61.2717,1.55417,2.34049,1.63444,0.00611,0.6875,0.38301,0.2443,1.42442,3.15016,1.51768,0.000441784,0.000441784,0.000441784
4,75.0485,1.54171,1.96543,1.5482,0.80617,0.26156,0.51,0.33257,1.31918,2.83097,1.34748,0.000583172,0.000583172,0.000583172
5,90.0021,1.54604,1.82395,1.5578,0.69084,0.28173,0.42307,0.32968,1.29655,2.78286,1.4636,0.000718224,0.000718224,0.000718224
6,112.417,1.53801,2.409,1.62341,0.6796,0.25,0.34662,0.23271,1.54787,3.00646,1.51574,0.00084694,0.00084694,0.00084694
7,134.013,1.50323,1.73165,1.50542,0.61318,0.29871,0.32636,0.23811,1.50337,2.78398,1.49318,0.00096932,0.00096932,0.00096932
8,157.205,1.49958,1.67222,1.5337,0.85683,0.37417,0.43284,0.31614,1.56113,2.50736,1.50988,0.00108536,0.00108536,0.00108536
9,178.195,1.49034,1.632,1.55299,0.7024,0.25,0.27547,0.14368,1.6509,2.83341,1.64418,0.00119507,0.00119507,0.00119507
10,198.956,1.47124,1.59796,1.56593,0.69025,0.25,0.37889,0.21174,1.70681,2.80379,1.79072,0.00129844,0.00129844,0.00129844
11,223.262,1.49828,1.56816,1.54205,0.39863,0.3125,0.23081,0.15785,1.85834,2.97782,1.65601,0.00139548,0.00139548,0.00139548
12,247.391,1.55044,1.59398,1.62577,0.52326,0.3125,0.28614,0.16945,2.01789,2.91507,1.74741,0.00148618,0.00148618,0.00148618
13,272.49,1.53803,1.53541,1.56266,0.64336,0.34005,0.39151,0.19833,1.74365,2.59993,1.54244,0.0015248,0.0015248,0.0015248
14,302.036,1.49084,1.53948,1.55578,0.27524,0.125,0.09707,0.05767,2.08369,2.69286,1.83736,0.0014852,0.0014852,0.0014852
15,333.212,1.44996,1.5453,1.49299,0.31512,0.0625,0.03109,0.01684,2.67512,3.62753,2.28728,0.0014456,0.0014456,0.0014456
16,370.938,1.45149,1.57539,1.49222,0.243,0.125,0.04646,0.02687,2.90466,3.75844,2.57429,0.001406,0.001406,0.001406
17,405.862,1.50198,1.52936,1.59678,0.19561,0.125,0.09495,0.02607,3.17486,3.26177,3.37557,0.0013664,0.0013664,0.0013664
18,440.651,1.41586,1.42652,1.51326,0.24382,0.125,0.10448,0.01978,3.43056,3.44038,3.8058,0.0013268,0.0013268,0.0013268
19,479.155,1.39172,1.31607,1.42927,0.36157,0.125,0.13065,0.01867,2.75023,2.98607,2.62725,0.0012872,0.0012872,0.0012872
20,511.196,1.4143,1.494,1.47793,0.42675,0.1875,0.08897,0.0338,2.11617,2.21097,1.98236,0.0012476,0.0012476,0.0012476
21,547.489,1.38305,1.34567,1.46422,1,0.30249,0.3169,0.15984,1.65235,1.94714,1.56248,0.001208,0.001208,0.001208
22,576.237,1.35072,1.37457,1.46816,0.85674,0.1875,0.23023,0.13102,1.96193,2.4699,1.74673,0.0011684,0.0011684,0.0011684
23,612.905,1.22096,1.22121,1.38024,0.90273,0.25,0.27382,0.2285,1.53343,2.07629,1.49715,0.0011288,0.0011288,0.0011288
24,646.939,1.33627,1.2711,1.40693,0.7597,0.4375,0.42332,0.34573,1.44876,1.8688,1.50508,0.0010892,0.0010892,0.0010892
25,681.612,1.31451,1.20754,1.41769,1,0.43201,0.43666,0.34249,1.4448,1.74345,1.44752,0.0010496,0.0010496,0.0010496
26,719.685,1.27923,1.1689,1.34185,0.5976,0.3125,0.27865,0.24019,1.54658,1.89337,1.56365,0.00101,0.00101,0.00101
27,755.933,1.18791,1.21096,1.36155,0.99497,0.3125,0.3169,0.23107,1.57543,1.91515,1.53267,0.0009704,0.0009704,0.0009704
28,792.32,1.25511,1.11517,1.3629,0.95095,0.3125,0.3169,0.23238,1.64002,1.951,1.54414,0.0009308,0.0009308,0.0009308
29,833.951,1.22436,1.11813,1.3429,0.95155,0.3125,0.3169,0.24381,1.54107,2.13118,1.45514,0.0008912,0.0008912,0.0008912
30,871.156,1.25198,1.08321,1.33318,0.94735,0.3125,0.3169,0.20587,1.63355,2.20257,1.6741,0.0008516,0.0008516,0.0008516
31,910.705,1.26023,1.14875,1.4106,0.81812,0.3125,0.3169,0.20482,1.65683,2.18437,1.66895,0.000812,0.000812,0.000812
32,950.845,1.20656,1.06011,1.30923,0.98183,0.3125,0.3169,0.25189,1.50651,2.07202,1.47827,0.0007724,0.0007724,0.0007724
33,990.456,1.14748,1.0318,1.28054,0.97659,0.3125,0.3169,0.26907,1.41606,1.92323,1.41323,0.0007328,0.0007328,0.0007328
34,1032.96,1.13198,1.12234,1.3443,0.82858,0.3125,0.3169,0.25361,1.36883,1.87648,1.41474,0.0006932,0.0006932,0.0006932
35,1068.11,1.11502,0.98743,1.28013,0.97862,0.3125,0.3169,0.26975,1.35985,1.84395,1.38134,0.0006536,0.0006536,0.0006536
36,1111.2,1.19795,1.04761,1.33043,0.97343,0.25,0.24753,0.21373,1.38694,1.84185,1.40866,0.000614,0.000614,0.000614
37,1167.26,1.14283,0.98458,1.2859,0.96218,0.25,0.24753,0.20619,1.50699,1.99444,1.53924,0.0005744,0.0005744,0.0005744
38,1229,1.14253,1.001,1.27936,0.97253,0.25,0.24753,0.19631,1.45538,1.77698,1.49946,0.0005348,0.0005348,0.0005348
