epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2668,1.81818,2.63631,1.91688,0.00556,1,0.47029,0.21156,1.49095,3.08422,1.80581,6e-05,6e-05,6e-05
2,62.3597,1.63235,2.50401,1.78455,0.00556,1,0.83944,0.51806,0.97621,3.0344,1.49945,0.000137228,0.000137228,0.000137228
3,92.0093,1.47587,2.27072,1.64436,0.00556,1,0.635,0.3941,0.97643,2.8664,1.46584,0.000211288,0.000211288,0.000211288
4,120.69,1.45902,1.8384,1.64578,1,0.45635,0.92833,0.49279,1.19988,2.46867,1.52991,0.00028218,0.00028218,0.00028218
5,136.279,1.35863,1.64367,1.5873,0.70226,0.48542,0.76167,0.518,0.87554,2.35599,1.30737,0.000349904,0.000349904,0.000349904
6,152.373,1.35435,1.60065,1.58774,0.21885,1,0.7575,0.54555,0.86385,2.49748,1.30854,0.00041446,0.00041446,0.00041446
7,170.572,1.38142,1.52519,1.53795,0.50011,0.80041,0.7704,0.47995,0.92854,2.41917,1.37205,0.000475848,0.000475848,0.000475848
