epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10182,1.81818,2.63631,1.91688,0.00556,1,0.47029,0.21156,1.49095,3.08421,1.80582,6e-05,6e-05,6e-05
2,14.812,1.63062,2.50685,1.7837,0.00556,1,0.83071,0.48727,1.06904,2.97037,1.53377,0.00013538,0.00013538,0.00013538
3,21.1783,1.47638,2.27919,1.64202,0.00556,1,0.68591,0.43821,1.00045,2.85821,1.44633,0.00020548,0.00020548,0.00020548
4,28.4664,1.45089,1.83125,1.6263,1,0.36674,0.96167,0.70771,0.84396,2.45162,1.39252,0.0002703,0.0002703,0.0002703
5,35.972,1.37354,1.63986,1.58894,1,0.381,0.995,0.719,0.8867,2.33453,1.35399,0.00032984,0.00032984,0.00032984
6,43.1781,1.37477,1.63701,1.59064,0.17892,1,0.85333,0.59871,0.89777,2.45002,1.3436,0.0003841,0.0003841,0.0003841
7,50.5768,1.36092,1.56434,1.5342,0.63959,0.6,0.75382,0.53843,0.98965,2.51965,1.42196,0.00043308,0.00043308,0.00043308
8,57.7549,1.22954,1.48917,1.45939,0.54053,0.6,0.60811,0.42632,1.06691,2.11592,1.42788,0.00047678,0.00047678,0.00047678
9,64.6028,1.29941,1.4195,1.49004,0.79282,0.6,0.855,0.62403,0.97401,2.0627,1.32824,0.0005152,0.0005152,0.0005152
10,74.0495,1.2313,1.35882,1.4277,0.88404,0.8,0.96167,0.48109,1.20594,2.27536,1.61455,0.00054834,0.00054834,0.00054834
