epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8444,1.81818,2.63631,1.91688,0.00556,1,0.47029,0.21156,1.49095,3.08422,1.80581,6e-05,6e-05,6e-05
2,64.2935,1.63235,2.50401,1.78455,0.00556,1,0.83944,0.51806,0.97621,3.0344,1.49945,0.000137228,0.000137228,0.000137228
3,94.8768,1.47587,2.27072,1.64436,0.00556,1,0.635,0.3941,0.97643,2.8664,1.46584,0.000211288,0.000211288,0.000211288
