epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9081,1.96764,2.97907,1.95383,0.00524,0.64706,0.13167,0.07739,1.4304,3.47557,1.68009,0.00012,0.00012,0.00012
2,24.8425,1.66745,2.51525,1.77478,0.00571,0.70588,0.30588,0.15266,1.37663,3.12907,1.4803,0.000254852,0.000254852,0.000254852
3,38.2438,1.6509,2.03035,1.71221,0.60779,0.29412,0.39309,0.26568,1.32704,2.91439,1.45799,0.00038416,0.00038416,0.00038416
4,50.6406,1.55359,1.87765,1.59143,1,0.26131,0.41866,0.28653,1.60687,2.82935,1.64087,0.000507924,0.000507924,0.000507924
5,61.6087,1.50474,1.83865,1.54275,1,0.19538,0.35506,0.22018,1.65866,2.88688,1.64416,0.000626144,0.000626144,0.000626144
6,75.9342,1.44603,1.7026,1.51076,0.6089,0.18432,0.37902,0.20505,1.67305,2.91172,1.53685,0.00073882,0.00073882,0.00073882
7,92.5975,1.54074,1.69435,1.56709,0.23596,0.41176,0.35247,0.11562,2.22812,3.23248,1.83273,0.000845952,0.000845952,0.000845952
8,109.655,1.46866,1.6052,1.50591,0.71194,0.17647,0.29534,0.10882,2.38995,3.20044,2.07032,0.00094754,0.00094754,0.00094754
9,129.344,1.42659,1.47093,1.48333,0.99567,0.23529,0.39156,0.17652,2.20806,2.852,2.01469,0.00104358,0.00104358,0.00104358
10,147.489,1.45445,1.54836,1.55595,0.77748,0.41114,0.4322,0.25772,1.8247,2.53368,1.80982,0.00113408,0.00113408,0.00113408
11,171.43,1.47691,1.4769,1.50042,0.8709,0.39827,0.44912,0.27134,1.77857,2.44415,1.80973,0.00121904,0.00121904,0.00121904
12,192.859,1.4718,1.61062,1.51748,0.79392,0.29412,0.35716,0.21334,2.05717,3.35607,2.19394,0.00129845,0.00129845,0.00129845
13,211.74,1.48514,1.47539,1.4787,0.53825,0.35294,0.36898,0.14699,2.00333,3.73746,2.2086,0.00137232,0.00137232,0.00137232
14,233.84,1.46538,1.42219,1.47655,0.75136,0.41176,0.38119,0.17881,1.923,3.42059,2.2622,0.00144064,0.00144064,0.00144064
15,255.613,1.44717,1.4692,1.49327,0.91748,0.41176,0.4167,0.23144,1.82255,3.31114,2.06938,0.0014456,0.0014456,0.0014456
16,284.21,1.47208,1.437,1.45397,0.92454,0.29412,0.3407,0.17983,1.67269,3.15633,1.78171,0.001406,0.001406,0.001406
17,315.365,1.46298,1.40229,1.47871,0.37202,0.29412,0.23624,0.12678,1.63662,2.79408,1.70982,0.0013664,0.0013664,0.0013664
18,345.655,1.38836,1.33664,1.44357,0.72729,0.29412,0.28696,0.19068,1.69973,2.37567,1.80254,0.0013268,0.0013268,0.0013268
19,375.166,1.42491,1.3514,1.43173,0.63688,0.23529,0.19838,0.1288,1.6743,2.90552,1.99685,0.0012872,0.0012872,0.0012872
20,409.386,1.37227,1.34073,1.45228,0.59597,0.29412,0.28474,0.19676,1.95391,2.43094,2.1356,0.0012476,0.0012476,0.0012476
21,439.316,1.36381,1.26524,1.41349,0.92351,0.17647,0.19362,0.11363,2.04129,2.41942,2.37678,0.001208,0.001208,0.001208
22,468.352,1.30841,1.2617,1.39907,0.96392,0.23529,0.27029,0.18116,1.86248,2.26632,2.14216,0.0011684,0.0011684,0.0011684
23,500.696,1.28486,1.15211,1.35165,0.62942,0.29412,0.28696,0.22705,1.70288,2.30709,1.83843,0.0011288,0.0011288,0.0011288
24,535.231,1.29523,1.1696,1.3507,0.68986,0.29412,0.28696,0.18037,1.64201,2.3684,1.65397,0.0010892,0.0010892,0.0010892
25,568.864,1.26259,1.13247,1.33034,0.80113,0.29412,0.26696,0.1611,1.72832,2.30693,1.70929,0.0010496,0.0010496,0.0010496
26,606.924,1.27642,1.1251,1.35283,0.69795,0.29412,0.25581,0.18378,1.76951,1.95328,1.79388,0.00101,0.00101,0.00101
27,645.247,1.2041,1.09423,1.31649,0.78771,0.29412,0.28696,0.22106,1.65141,1.72137,1.76245,0.0009704,0.0009704,0.0009704
28,680.844,1.19743,1.04588,1.30687,0.97057,0.29412,0.29696,0.21703,1.64177,1.66459,1.81321,0.0009308,0.0009308,0.0009308
29,718.76,1.1937,1.11436,1.34438,0.8984,0.29412,0.29696,0.20696,1.62015,1.61351,1.78032,0.0008912,0.0008912,0.0008912
