epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7702,1.96764,2.97907,1.95383,0.00524,0.64706,0.13167,0.07739,1.4304,3.47557,1.68009,0.00012,0.00012,0.00012
2,23.8549,1.6667,2.51879,1.77517,0.00571,0.70588,0.26847,0.13956,1.35149,3.12047,1.45641,0.00025142,0.00025142,0.00025142
3,37.1538,1.64902,2.00882,1.71554,0.45507,0.41176,0.36768,0.2468,1.33427,2.86343,1.44419,0.0003736,0.0003736,0.0003736
4,48.854,1.54191,1.87012,1.59367,1,0.27731,0.40316,0.24566,1.50829,2.83599,1.54147,0.00048654,0.00048654,0.00048654
5,60.1569,1.51495,1.88827,1.57693,1,0.16778,0.36572,0.18279,1.75574,2.95758,1.67628,0.00059024,0.00059024,0.00059024
6,74.9527,1.43972,1.71802,1.5137,0.82846,0.28552,0.43119,0.27564,1.52811,2.68938,1.56041,0.0006847,0.0006847,0.0006847
7,94.2953,1.50567,1.69135,1.5533,0.52364,0.35294,0.44264,0.17884,1.62425,2.83669,1.62693,0.00076992,0.00076992,0.00076992
8,113.21,1.4474,1.59939,1.51168,0.61899,0.29412,0.37749,0.20051,1.71107,2.79368,1.63446,0.0008459,0.0008459,0.0008459
9,132.417,1.43347,1.4452,1.48244,0.84458,0.35294,0.48043,0.28805,1.76981,2.56381,1.67344,0.00091264,0.00091264,0.00091264
10,150.503,1.44724,1.49316,1.53625,0.59707,0.34906,0.50279,0.29037,1.6572,2.57235,1.5986,0.00097014,0.00097014,0.00097014
11,171.969,1.42715,1.38204,1.46235,0.60083,0.44388,0.42017,0.22185,1.92152,2.64006,1.82129,0.0010184,0.0010184,0.0010184
12,195.256,1.45032,1.52121,1.52347,0.9301,0.29412,0.38431,0.21713,1.67737,2.43612,1.60147,0.00105742,0.00105742,0.00105742
13,216.773,1.39151,1.42007,1.43426,0.49738,0.29412,0.41432,0.26131,1.58564,2.35921,1.59165,0.0010872,0.0010872,0.0010872
14,239.751,1.37079,1.37979,1.44303,0.74089,0.50584,0.4483,0.18063,1.78974,2.34203,1.86264,0.00110774,0.00110774,0.00110774
15,266.883,1.37377,1.42482,1.46741,0.74602,0.41176,0.40336,0.27828,1.84329,2.21617,1.83864,0.001076,0.001076,0.001076
